零件号,无色标零件号,供应商号,工厂,SUPPLIER_ID,单位,运输费(原始),操作费(原始),包装费(原始),运输费(最新),运输费(服务商),操作费(最新),操作费(服务商),包装费(最新),包装费(服务商)
02E911022D,02E911022D,11056,1000,50001908,只,1.26,0.77,2.46,1.26,11056,0.77,11056,2.46,11056
0AM911021A,0AM911021A,11056,1000,50001908,只,2.07,1.98,0.45,2.07,11056,1.98,11056,0.45,11056
19D833673,19D833673,10262,1000,50002789,只,0.03,0,0.06,0.01,10798,0,10262,0,10262
5Q0805398B,5Q0805398B,10262,1000,50002789,只,0.01,0,0.01,0.01,10798,0,10262,0.01,10262
5Q0805397B,5Q0805397B,10262,1000,50002789,只,0.01,0,0.01,0.01,10798,0,10262,0.01,10262
5Q0803206B,5Q0803206B,10262,1000,50002789,只,0.23,0,0.33,0.05,10798,0,10262,0.33,10262
5Q0803205B,5Q0803205B,10262,1000,50002789,只,0.23,0,0.33,0.05,10798,0,10262,0.33,10262
5Q1803177,5Q1803177,10262,1000,50002789,只,0.01,0,0.01,0.01,10798,0,10262,0.01,10262
19D833674,19D833674,10262,1000,50002789,只,0.03,0,0.06,0.01,10798,0,10262,0.06,10262
06K103023B,06K103023B,11089,1000,50002262,只,25.45,4.25,3.2,25.45,11089,4.25,11089,3.2,11089
18D817119A,18D817119A,10262,1000,50002789,只,0.03,0,0.07,0.03,10262,0,10262,0.07,10262
1C0803187A,1C0803187A,10262,1000,50002789,只,0.09,0,0.21,0.09,10262,0,10262,0.21,10262
5NA813309A,5NA813309A,10262,1000,50002789,只,0.03,0,0.05,0.03,10262,0,10262,0.05,10262
2QD614105A,2QD614105A,11630,1000,50193808,只,2.43,0,1.05,2.43,11630,0,11630,1.05,11630
5ND419091  81U,5ND419091,10990,1000,50001522,只,4.99,0,0.01,4.99,10990,0,10990,0.01,10990
5ND419091D USZ,5ND419091D,10990,1000,50001522,只,5,0,0,5,10990,0,10990,0,10990
5ND419091E SIK,5ND419091E,10990,1000,50001522,只,5,0,0,5,10990,0,10990,0,10990
22D880741D,22D880741D,10990,1000,50001522,只,4.87,0,1.59,4.87,10990,0,10990,1.59,10990
22D880742D,22D880742D,10990,1000,50001522,只,4.87,0,1.59,4.87,10990,0,10990,1.59,10990
2SD880741E,2SD880741E,10990,1000,50001522,只,4.87,0,1.59,4.87,10990,0,10990,1.59,10990
2SD880742E,2SD880742E,10990,1000,50001522,只,4.87,0,1.59,4.87,10990,0,10990,1.59,10990
03C103113E,03C103113E,11084,1000,50001348,只,0.07,0,0,0.07,11084,0,11084,0,11084
06J103392D,06J103392D,11084,1000,50001348,只,0.19,0,0,0.19,11084,0,11084,0,11084
06J145961A,06J145961A,11084,1000,50001348,只,0.06,0,0,0.06,11084,0,11084,0,11084
06J145383C,06J145383C,11084,1000,50001348,只,0.91,0,0,0.91,11084,0,11084,0,11084
WHT001157G,WHT001157G,11084,1000,50001348,只,0.04,0,0.02,0.04,11084,0,11084,0.02,11084
06K103551E,06K103551E,11084,1000,50001348,只,0.05,0,0.05,0.05,11084,0,11084,0.05,11084
WHT001396C,WHT001396C,11084,1000,50001348,只,0.02,0,0.03,0.02,11084,0,11084,0.03,11084
06J103390M,06J103390M,11084,1000,50001348,只,0.43,0,0,0.43,11084,0,11084,0,11084
N  0119104,N  0119104,11084,1000,50001348,只,0,0,0.01,0,11084,0,11084,0.01,11084
N  0119078,N  0119078,11084,1000,50001348,只,0,0,0.01,0,11084,0,11084,0.01,11084
N  0119019,N  0119019,11084,1000,50001348,只,0,0,0.01,0,11084,0,11084,0.01,11084
N  0119048,N  0119048,11084,1000,50001348,只,0,0,0.01,0,11084,0,11084,0.01,11084
N  0119079,N  0119079,11084,1000,50001348,只,0,0,0.01,0,11084,0,11084,0.01,11084
N  0119194,N  0119194,11084,1000,50001348,只,0.01,0,0.01,0.01,11084,0,11084,0.01,11084
N  01190110,N  01190110,11084,1000,50001348,只,0,0,0.01,0,11084,0,11084,0.01,11084
06L103551C,06L103551C,11084,1000,50001348,只,0.1,0,0.13,0.1,11084,0,11084,0.13,11084
06K103392H,06K103392H,11084,1000,50001348,只,0.32,0,0.29,0.32,11084,0,11084,0.29,11084
